t,frame_index,timestamp,current_left_x,current_left_y,current_left_z,current_left_qx,current_left_qy,current_left_qz,current_left_qw,current_left_gripper,current_right_x,current_right_y,current_right_z,current_right_qx,current_right_qy,current_right_qz,current_right_qw,current_right_gripper,next_left_x,next_left_y,next_left_z,next_left_qx,next_left_qy,next_left_qz,next_left_qw,next_left_gripper,next_right_x,next_right_y,next_right_z,next_right_qx,next_right_qy,next_right_qz,next_right_qw,next_right_gripper
0,744,24.799999237060547,-0.0550365149974823,-0.04239598289132118,-0.13881263136863708,0.6237828731536865,0.4090457558631897,-0.6422082185745239,0.17647960782051086,0.31607070565223694,0.1047343760728836,-0.003189824288710952,-0.14584031701087952,0.48024246096611023,-0.21872813999652863,0.8494181036949158,0.0037455842830240726,-0.026461733505129814,-0.05161792412400246,-0.04155891761183739,-0.14035212993621826,0.6783588528633118,0.38549569249153137,-0.5984826683998108,0.18177123367786407,0.29891958832740784,0.09999269992113113,-0.0034989567939192057,-0.14502285420894623,0.5219850540161133,-0.23911695182323456,0.8180619478225708,0.033604782074689865,-0.026625078171491623
1,750,25.0,-0.05161792412400246,-0.04155891761183739,-0.14035212993621826,0.6783588528633118,0.38549569249153137,-0.5984826683998108,0.18177123367786407,0.29891958832740784,0.09999269992113113,-0.0034989567939192057,-0.14502285420894623,0.5219850540161133,-0.23911695182323456,0.8180619478225708,0.033604782074689865,-0.026625078171491623,-0.04809945821762085,-0.04032985121011734,-0.14193888008594513,0.756463885307312,0.3376505374908447,-0.5360085368156433,0.1626325100660324,0.1671009510755539,0.09731663018465042,-0.004156101960688829,-0.1438334733247757,0.6284540295600891,-0.29166144132614136,0.713893711566925,0.10166065394878387,-0.026135046035051346
2,756,25.200000762939453,-0.04809945821762085,-0.04032985121011734,-0.14193888008594513,0.756463885307312,0.3376505374908447,-0.5360085368156433,0.1626325100660324,0.1671009510755539,0.09731663018465042,-0.004156101960688829,-0.1438334733247757,0.6284540295600891,-0.29166144132614136,0.713893711566925,0.10166065394878387,-0.026135046035051346,-0.04402058571577072,-0.04017394036054611,-0.14350727200508118,0.8398131728172302,0.278290331363678,-0.4416782855987549,0.1489585041999817,0.04034597799181938,0.09583263099193573,-0.006789762061089277,-0.14240017533302307,0.786277174949646,-0.30673661828041077,0.4757600426673889,0.24765543639659882,-0.026298390701413155
3,762,25.399999618530273,-0.04402058571577072,-0.04017394036054611,-0.14350727200508118,0.8398131728172302,0.278290331363678,-0.4416782855987549,0.1489585041999817,0.04034597799181938,0.09583263099193573,-0.006789762061089277,-0.14240017533302307,0.786277174949646,-0.30673661828041077,0.4757600426673889,0.24765543639659882,-0.026298390701413155,-0.04284736514091492,-0.040307946503162384,-0.1437300443649292,0.8609470129013062,0.25912877917289734,-0.41599351167678833,0.13627877831459045,0.049983274191617966,0.09903033077716827,-0.007054558955132961,-0.14200562238693237,0.8383488059043884,-0.2656663656234741,0.28241509199142456,0.38318967819213867,-0.0289118941873312
4,768,25.600000381469727,-0.04284736514091492,-0.040307946503162384,-0.1437300443649292,0.8609470129013062,0.25912877917289734,-0.41599351167678833,0.13627877831459045,0.049983274191617966,0.09903033077716827,-0.007054558955132961,-0.14200562238693237,0.8383488059043884,-0.2656663656234741,0.28241509199142456,0.38318967819213867,-0.0289118941873312,-0.04232175275683403,-0.04027573764324188,-0.14382031559944153,0.8608862161636353,0.2574174404144287,-0.41493386030197144,0.14297232031822205,0.05390353128314018,0.10311318933963776,-0.006626208312809467,-0.1435922533273697,0.8371589779853821,-0.1994946002960205,0.18216994404792786,0.4755847454071045,-0.03038199059665203
5,774,25.799999237060547,-0.04232175275683403,-0.04027573764324188,-0.14382031559944153,0.8608862161636353,0.2574174404144287,-0.41493386030197144,0.14297232031822205,0.05390353128314018,0.10311318933963776,-0.006626208312809467,-0.1435922533273697,0.8371589779853821,-0.1994946002960205,0.18216994404792786,0.4755847454071045,-0.03038199059665203,-0.04087428003549576,-0.04025838524103165,-0.1442149430513382,0.86069655418396,0.2589888274669647,-0.4128124713897705,0.14735007286071777,0.05586365982890129,0.10357733815908432,-0.006381082348525524,-0.14473353326320648,0.8309817314147949,-0.1555458903312683,0.12347270548343658,0.5196434259414673,-0.031525399535894394
6,780,26.0,-0.04087428003549576,-0.04025838524103165,-0.1442149430513382,0.86069655418396,0.2589888274669647,-0.4128124713897705,0.14735007286071777,0.05586365982890129,0.10357733815908432,-0.006381082348525524,-0.14473353326320648,0.8309817314147949,-0.1555458903312683,0.12347270548343658,0.5196434259414673,-0.031525399535894394,-0.04006345197558403,-0.040234845131635666,-0.14443674683570862,0.8600870966911316,0.2610880136489868,-0.4110199511051178,0.15213748812675476,0.048186492174863815,0.10446451604366302,-0.006333975121378899,-0.14579690992832184,0.8287755250930786,-0.1272290199995041,0.1107463613152504,0.5335533618927002,-0.031198712065815926
7,786,26.200000762939453,-0.04006345197558403,-0.040234845131635666,-0.14443674683570862,0.8600870966911316,0.2610880136489868,-0.4110199511051178,0.15213748812675476,0.048186492174863815,0.10446451604366302,-0.006333975121378899,-0.14579690992832184,0.8287755250930786,-0.1272290199995041,0.1107463613152504,0.5335533618927002,-0.031198712065815926,-0.04007568582892418,-0.04021793231368065,-0.14442574977874756,0.8591939210891724,0.2617896795272827,-0.41232046484947205,0.15245918929576874,0.04769646003842354,0.10485046356916428,-0.00654240557923913,-0.14613376557826996,0.825164794921875,-0.12009140104055405,0.11256880313158035,0.5403789281845093,-0.03185208886861801
8,792,26.399999618530273,-0.04007568582892418,-0.04021793231368065,-0.14442574977874756,0.8591939210891724,0.2617896795272827,-0.41232046484947205,0.15245918929576874,0.04769646003842354,0.10485046356916428,-0.00654240557923913,-0.14613376557826996,0.825164794921875,-0.12009140104055405,0.11256880313158035,0.5403789281845093,-0.03185208886861801,-0.04008820652961731,-0.04022156819701195,-0.14441514015197754,0.8581265807151794,0.2629855275154114,-0.41326284408569336,0.15385450422763824,0.040019288659095764,0.10484009236097336,-0.006552256178110838,-0.14614008367061615,0.8254227042198181,-0.11891897022724152,0.11347763985395432,0.5400541424751282,-0.031525399535894394
9,798,26.600000381469727,-0.04008820652961731,-0.04022156819701195,-0.14441514015197754,0.8581265807151794,0.2629855275154114,-0.41326284408569336,0.15385450422763824,0.040019288659095764,0.10484009236097336,-0.006552256178110838,-0.14614008367061615,0.8254227042198181,-0.11891897022724152,0.11347763985395432,0.5400541424751282,-0.031525399535894394,-0.040090013295412064,-0.040217697620391846,-0.14441640675067902,0.857981264591217,0.2634623050689697,-0.41291436553001404,0.1547820270061493,0.0334855280816555,0.10471785813570023,-0.00658143125474453,-0.1461905688047409,0.8254169225692749,-0.10805182158946991,0.1130921021103859,0.5424222350120544,-0.031362056732177734
